event,frame,time_stamp,level,video_id
jump,4014,01:06,1-1,2
fire flower,4099,01:08,1-1,2
jump,4151,01:09,1-1,2
coinblock hit,4182,01:09,1-1,2
jump,4215,01:10,1-1,2
goomba killed,4318,01:11,1-1,2
goomba killed,4429,01:13,1-1,2
jump,4534,01:15,1-1,2
jump,4594,01:16,1-1,2
jump,4662,01:17,1-1,2
jump,4722,01:18,1-1,2
jump,4810,01:20,1-1,2
jump,4936,01:22,1-1,2
jump,4996,01:23,1-1,2
jump,5081,01:24,1-1,2
jump,5166,01:26,1-1,2
jump,5226,01:27,1-1,2
jump,5302,01:28,1-1,2
jump,5538,01:32,1-1,2
jump,5731,01:35,1-1,2
goomba killed,6811,01:53,1-2,2
goomba killed,6871,01:54,1-2,2
jump,6905,01:55,1-2,2
fire flower,6949,01:55,1-2,2
jump,6965,01:56,1-2,2
coinblock hit,6965,01:56,1-2,2
jump,7043,01:57,1-2,2
jump,7133,01:58,1-2,2
jump,7239,02:00,1-2,2
jump,7300,02:01,1-2,2
jump,7360,02:02,1-2,2
jump,7457,02:04,1-2,2
jump,7546,02:05,1-2,2
jump,7877,02:11,1-2,2
coinblock hit,7886,02:11,1-2,2
jump,7950,02:12,1-2,2
jump,8013,02:13,1-2,2
jump,8084,02:14,1-2,2
jump,8148,02:15,1-2,2
jump,8234,02:17,1-2,2
goomba killed,8392,02:19,1-2,2
jump,8502,02:21,1-2,2
coinblock hit,8511,02:21,1-2,2
coinblock hit,8558,02:22,1-2,2
jump,8582,02:23,1-2,2
coinblock hit,8598,02:23,1-2,2
coinblock hit,8645,02:24,1-2,2
jump,8661,02:24,1-2,2
coinblock hit,8692,02:24,1-2,2
jump,8738,02:25,1-2,2
coinblock hit,8742,02:25,1-2,2
jump,8823,02:27,1-2,2
koopa killed,8950,02:29,1-2,2
jump,9026,02:30,1-2,2
koopa killed,9031,02:30,1-2,2
jump,9086,02:31,1-2,2
coinblock hit,9126,02:32,1-2,2
jump,9156,02:32,1-2,2
jump,9216,02:33,1-2,2
koopa killed,9381,02:36,1-2,2
goomba killed,9408,02:36,1-2,2
goomba killed,9545,02:39,1-2,2
jump,9909,02:45,1-2,2
jump,9983,02:46,1-2,2
jump,10044,02:47,1-2,2
jump,10201,02:50,1-2,2
jump,10261,02:51,1-2,2
goomba killed,10359,02:52,1-2,2
goomba killed,10419,02:53,1-2,2
jump,10565,02:56,1-2,2
jump,10626,02:57,1-2,2
jump,10752,02:59,1-2,2
goomba killed,10955,03:02,1-2,2
