event,frame,level,video_id
jump,65661,1-1,3
coinblock hit,65663,1-1,3
jump,65721,1-1,3
jump,65835,1-1,3
jump,65946,1-1,3
goomba killed,65981,1-1,3
jump,66009,1-1,3
goomba killed,66091,1-1,3
jump,66129,1-1,3
jump,66295,1-1,3
jump,66385,1-1,3
goomba killed,66393,1-1,3
jump,66445,1-1,3
goomba killed,66453,1-1,3
fire flower,66479,1-1,3
jump,66505,1-1,3
jump,66677,1-1,3
jump,66786,1-1,3
jump,66852,1-1,3
jump,66913,1-1,3
jump,66973,1-1,3
jump,67064,1-1,3
jump,67146,1-1,3
jump,67206,1-1,3
jump,67280,1-1,3
jump,67340,1-1,3
jump,67464,1-1,3
jump,67524,1-1,3
jump,67584,1-1,3
jump,67656,1-1,3
goomba killed,67776,1-1,3
jump,67812,1-1,3
coinblock hit,67823,1-1,3
jump,67902,1-1,3
jump,67962,1-1,3
jump,68039,1-1,3
jump,68100,1-1,3
jump,68185,1-1,3
goomba killed,69556,1-2,3
jump,69674,1-2,3
fire flower,69718,1-2,3
jump,69734,1-2,3
coinblock hit,69742,1-2,3
jump,69819,1-2,3
jump,69906,1-2,3
jump,70088,1-2,3
coinblock hit,70097,1-2,3
coinblock hit,70137,1-2,3
jump,70155,1-2,3
coinblock hit,70184,1-2,3
jump,70217,1-2,3
jump,70277,1-2,3
jump,70337,1-2,3
koopa killed,70470,1-2,3
jump,70526,1-2,3
coinblock hit,70539,1-2,3
jump,70593,1-2,3
jump,70694,1-2,3
jump,70767,1-2,3
koopa killed,70786,1-2,3
jump,70827,1-2,3
jump,70887,1-2,3
jump,70954,1-2,3
koopa killed,70966,1-2,3
jump,71014,1-2,3
jump,71074,1-2,3
koopa killed,71132,1-2,3
jump,71134,1-2,3
jump,71194,1-2,3
jump,71254,1-2,3
jump,71314,1-2,3
koopa killed,71451,1-2,3
jump,71454,1-2,3
goomba killed,71524,1-2,3
jump,71525,1-2,3
koopa killed,71532,1-2,3
jump,71591,1-2,3
koopa killed,71609,1-2,3
jump,71651,1-2,3
jump,71711,1-2,3
goomba killed,71989,1-2,3
goomba killed,72050,1-2,3
jump,72145,1-2,3
jump,72213,1-2,3
jump,72346,1-2,3
jump,72406,1-2,3
jump,72466,1-2,3
jump,72532,1-2,3
jump,72597,1-2,3
jump,72665,1-2,3
jump,72725,1-2,3
koopa killed,72784,1-2,3
jump,72787,1-2,3
jump,72850,1-2,3
koopa killed,72881,1-2,3
jump,72910,1-2,3
jump,72971,1-2,3
koopa killed,72984,1-2,3
jump,73071,1-2,3
jump,73139,1-2,3
jump,73206,1-2,3
koopa killed,73208,1-2,3
jump,73297,1-2,3
jump,74043,1-2,3
jump,74103,1-2,3
jump,74196,1-2,3
koopa killed,74275,1-2,3
jump,74382,1-2,3
jump,75161,1-2,3
jump,75232,1-2,3
jump,75482,1-2,3
jump,75542,1-2,3
goomba killed,75595,1-2,3
jump,75602,1-2,3
jump,75672,1-2,3
jump,75734,1-2,3
jump,75794,1-2,3
jump,75907,1-2,3
goomba killed,75956,1-2,3
jump,75967,1-2,3
jump,76037,1-2,3
jump,76141,1-2,3
jump,76201,1-2,3
jump,76313,1-2,3
jump,76470,1-2,3
jump,76628,1-2,3
jump,76693,1-2,3
jump,76754,1-2,3
jump,77042,1-2,3
jump,77102,1-2,3
jump,77162,1-2,3
jump,77229,1-2,3
jump,77312,1-2,3
jump,78507,1-3,3
jump,78609,1-3,3
jump,78716,1-3,3
jump,78776,1-3,3
jump,78935,1-3,3
goomba killed,78971,1-3,3
jump,79006,1-3,3
goomba killed,79043,1-3,3
jump,79076,1-3,3
jump,79176,1-3,3
jump,79236,1-3,3
jump,79297,1-3,3
jump,79427,1-3,3
mushroom,79491,1-3,3
jump,79658,1-3,3
jump,79718,1-3,3
jump,79929,1-3,3
jump,80025,1-3,3
jump,80142,1-3,3
jump,80202,1-3,3
jump,80270,1-3,3
jump,80330,1-3,3
jump,80390,1-3,3
jump,80468,1-3,3
jump,80528,1-3,3
jump,80588,1-3,3
jump,80648,1-3,3
jump,80837,1-3,3
jump,80897,1-3,3
jump,80957,1-3,3
jump,81017,1-3,3
jump,82125,1-4,3
jump,82674,1-4,3
jump,82742,1-4,3
jump,83508,1-4,3
jump,83568,1-4,3
jump,83730,1-4,3
jump,83790,1-4,3
jump,83850,1-4,3
jump,83990,1-4,3
jump,84082,1-4,3
jump,84143,1-4,3
jump,84209,1-4,3
jump,84313,1-4,3
jump,84391,1-4,3
jump,84466,1-4,3
jump,84616,1-4,3
jump,84677,1-4,3
jump,85233,1-4,3
jump,85557,1-4,3
jump,85618,1-4,3
jump,86384,1-4,3
jump,86444,1-4,3
jump,86640,1-4,3
jump,204,1-1,4
jump,290,1-1,4
coinblock hit,305,1-1,4
goomba killed,349,1-1,4
jump,352,1-1,4
jump,416,1-1,4
mushroom,439,1-1,4
jump,557,1-1,4
coinblock hit,566,1-1,4
jump,617,1-1,4
jump,683,1-1,4
jump,743,1-1,4
jump,803,1-1,4
jump,863,1-1,4
jump,1008,1-1,4
jump,1068,1-1,4
jump,1128,1-1,4
jump,1586,1-1,4
jump,1650,1-1,4
goomba killed,1668,1-1,4
jump,1712,1-1,4
coinblock hit,1719,1-1,4
goomba killed,1728,1-1,4
jump,1805,1-1,4
jump,1865,1-1,4
jump,1925,1-1,4
jump,3330,1-2,4
mushroom,3399,1-2,4
jump,3400,1-2,4
jump,3550,1-2,4
jump,3618,1-2,4
jump,3678,1-2,4
koopa killed,3714,1-2,4
jump,3738,1-2,4
coinblock hit,3788,1-2,4
jump,3801,1-2,4
jump,3901,1-2,4
jump,3967,1-2,4
jump,4048,1-2,4
jump,4152,1-2,4
jump,4224,1-2,4
jump,4305,1-2,4
jump,4423,1-2,4
jump,4483,1-2,4
jump,5045,1-2,4
goomba killed,5064,1-2,4
jump,5105,1-2,4
mushroom,5110,1-2,4
coinblock hit,5115,1-2,4
jump,5165,1-2,4
coinblock hit,5173,1-2,4
coinblock hit,5221,1-2,4
jump,5331,1-2,4
coinblock hit,5337,1-2,4
jump,5391,1-2,4
jump,5451,1-2,4
goomba killed,5560,1-2,4
jump,5585,1-2,4
jump,5665,1-2,4
jump,5725,1-2,4
coinblock hit,5758,1-2,4
jump,5785,1-2,4
coinblock hit,5798,1-2,4
coinblock hit,5845,1-2,4
jump,5850,1-2,4
coinblock hit,5885,1-2,4
jump,5910,1-2,4
coinblock hit,5931,1-2,4
jump,5970,1-2,4
coinblock hit,5979,1-2,4
coinblock hit,6019,1-2,4
jump,6030,1-2,4
jump,6161,1-2,4
koopa killed,6168,1-2,4
jump,6257,1-2,4
koopa killed,6314,1-2,4
jump,6332,1-2,4
jump,6450,1-2,4
jump,6511,1-2,4
jump,6620,1-2,4
coinblock hit,6623,1-2,4
koopa killed,6626,1-2,4
jump,6691,1-2,4
jump,6751,1-2,4
jump,6813,1-2,4
star,6853,1-2,4
koopa killed,6872,1-2,4
jump,6900,1-2,4
koopa killed,6959,1-2,4
goomba killed,7063,1-2,4
jump,7072,1-2,4
goomba killed,7206,1-2,4
jump,7264,1-2,4
koopa killed,7270,1-2,4
coinblock hit,7294,1-2,4
goomba killed,7321,1-2,4
jump,7377,1-2,4
goomba killed,7381,1-2,4
koopa killed,7406,1-2,4
jump,7458,1-2,4
jump,7574,1-2,4
jump,7765,1-2,4
goomba killed,7801,1-2,4
jump,7825,1-2,4
jump,7886,1-2,4
jump,7946,1-2,4
jump,8006,1-2,4
jump,8066,1-2,4
jump,8132,1-2,4
jump,8192,1-2,4
jump,8252,1-2,4
koopa killed,8306,1-2,4
jump,8312,1-2,4
jump,8373,1-2,4
koopa killed,8385,1-2,4
jump,8444,1-2,4
koopa killed,8454,1-2,4
jump,8504,1-2,4
fire flower,8549,1-2,4
jump,8581,1-2,4
koopa killed,8590,1-2,4
jump,8648,1-2,4
jump,8708,1-2,4
jump,8969,1-2,4
jump,9029,1-2,4
jump,9106,1-2,4
jump,10007,1-3,4
jump,10067,1-3,4
jump,10127,1-3,4
jump,10192,1-3,4
jump,10252,1-3,4
jump,10312,1-3,4
jump,10372,1-3,4
jump,10432,1-3,4
jump,10506,1-3,4
jump,10582,1-3,4
jump,10653,1-3,4
jump,10821,1-3,4
jump,10897,1-3,4
jump,10975,1-3,4
jump,11041,1-3,4
jump,11101,1-3,4
jump,11163,1-3,4
jump,11256,1-3,4
jump,11322,1-3,4
jump,11383,1-3,4
jump,11444,1-3,4
mushroom,11447,1-3,4
jump,11547,1-3,4
jump,11618,1-3,4
jump,11704,1-3,4
jump,11764,1-3,4
goomba killed,11784,1-3,4
jump,11824,1-3,4
jump,11949,1-3,4
jump,12009,1-3,4
jump,12069,1-3,4
jump,12539,1-3,4
jump,12606,1-3,4
jump,12666,1-3,4
jump,12790,1-3,4
jump,12871,1-3,4
jump,12931,1-3,4
jump,12991,1-3,4
jump,13051,1-3,4
jump,13154,1-3,4
jump,13214,1-3,4
jump,13324,1-3,4
jump,13389,1-3,4
jump,13449,1-3,4
jump,13529,1-3,4
jump,13589,1-3,4
jump,13665,1-3,4
jump,14539,1-4,4
jump,14624,1-4,4
jump,14684,1-4,4
jump,14871,1-4,4
jump,14990,1-4,4
jump,15293,1-4,4
jump,15370,1-4,4
jump,15430,1-4,4
jump,15490,1-4,4
jump,15550,1-4,4
jump,15613,1-4,4
jump,15673,1-4,4
jump,15733,1-4,4
jump,15793,1-4,4
jump,15853,1-4,4
jump,838,1-1,5
jump,1003,1-1,5
coinblock hit,1018,1-1,5
goomba killed,1025,1-1,5
jump,1079,1-1,5
mushroom,1158,1-1,5
jump,1168,1-1,5
coinblock hit,1182,1-1,5
jump,1335,1-1,5
jump,1454,1-1,5
jump,1553,1-1,5
goomba killed,1581,1-1,5
jump,1626,1-1,5
jump,1787,1-1,5
goomba killed,1828,1-1,5
jump,1847,1-1,5
jump,2129,1-1,5
jump,2218,1-1,5
goomba killed,2254,1-1,5
jump,2278,1-1,5
goomba killed,2315,1-1,5
fire flower,2315,1-1,5
jump,2340,1-1,5
jump,2400,1-1,5
jump,2554,1-1,5
koopa killed,2592,1-1,5
jump,2672,1-1,5
jump,2732,1-1,5
goomba killed,2769,1-1,5
jump,2837,1-1,5
coinblock hit,2843,1-1,5
jump,2956,1-1,5
coinblock hit,2967,1-1,5
coinblock hit,3007,1-1,5
jump,3020,1-1,5
coinblock hit,3052,1-1,5
jump,3080,1-1,5
coinblock hit,3100,1-1,5
koopa killed,3145,1-1,5
jump,3218,1-1,5
jump,3281,1-1,5
coinblock hit,3292,1-1,5
goomba killed,3350,1-1,5
coinblock hit,3352,1-1,5
jump,3361,1-1,5
jump,3423,1-1,5
jump,3485,1-1,5
jump,3578,1-1,5
goomba killed,3602,1-1,5
goomba killed,3662,1-1,5
goomba killed,3722,1-1,5
jump,3837,1-1,5
jump,3897,1-1,5
jump,3969,1-1,5
jump,4029,1-1,5
coinblock hit,4032,1-1,5
jump,4089,1-1,5
jump,4166,1-1,5
coinblock hit,4175,1-1,5
jump,4226,1-1,5
jump,4286,1-1,5
jump,4346,1-1,5
jump,4408,1-1,5
jump,4468,1-1,5
jump,4544,1-1,5
jump,4619,1-1,5
jump,4679,1-1,5
jump,4764,1-1,5
goomba killed,4864,1-1,5
jump,4936,1-1,5
jump,5041,1-1,5
jump,5101,1-1,5
jump,5161,1-1,5
jump,5273,1-1,5
jump,6311,1-2,5
goomba killed,6787,1-2,5
goomba killed,6847,1-2,5
jump,6896,1-2,5
fire flower,6940,1-2,5
jump,6967,1-2,5
jump,7065,1-2,5
jump,7222,1-2,5
jump,7284,1-2,5
coinblock hit,7300,1-2,5
jump,7351,1-2,5
jump,7411,1-2,5
goomba killed,7471,1-2,5
jump,7503,1-2,5
jump,7570,1-2,5
jump,7630,1-2,5
jump,7690,1-2,5
jump,7750,1-2,5
koopa killed,7936,1-2,5
koopa killed,8051,1-2,5
jump,8141,1-2,5
jump,8201,1-2,5
jump,8261,1-2,5
koopa killed,8322,1-2,5
goomba killed,8383,1-2,5
goomba killed,8594,1-2,5
goomba killed,8654,1-2,5
goomba killed,8714,1-2,5
jump,8716,1-2,5
jump,8838,1-2,5
goomba killed,9009,1-2,5
goomba killed,9069,1-2,5
jump,9146,1-2,5
jump,9270,1-2,5
jump,9459,1-2,5
koopa killed,9506,1-2,5
jump,9647,1-2,5
jump,9750,1-2,5
goomba killed,9773,1-2,5
jump,9824,1-2,5
jump,10007,1-2,5
jump,10079,1-2,5
jump,10200,1-2,5
koopa killed,10205,1-2,5
goomba killed,10231,1-2,5
jump,10260,1-2,5
goomba killed,10291,1-2,5
jump,10428,1-2,5
jump,10488,1-2,5
jump,10590,1-2,5
jump,10667,1-2,5
goomba killed,10684,1-2,5
jump,10988,1-2,5
jump,11050,1-2,5
jump,11120,1-2,5
jump,11247,1-2,5
jump,11347,1-2,5
jump,12532,1-3,5
jump,12615,1-3,5
jump,12795,1-3,5
jump,12979,1-3,5
jump,13039,1-3,5
jump,13436,1-3,5
jump,13504,1-3,5
jump,13564,1-3,5
jump,13624,1-3,5
mushroom,13700,1-3,5
jump,13857,1-3,5
jump,13917,1-3,5
jump,14064,1-3,5
jump,14151,1-3,5
jump,14329,1-3,5
jump,14452,1-3,5
jump,14534,1-3,5
jump,14594,1-3,5
jump,14765,1-3,5
jump,14875,1-3,5
jump,15493,1-3,5
jump,15610,1-3,5
jump,15715,1-3,5
jump,15806,1-3,5
jump,15966,1-3,5
jump,16090,1-3,5
jump,16186,1-3,5
jump,16246,1-3,5
jump,16315,1-3,5
jump,16408,1-3,5
jump,16479,1-3,5
jump,16539,1-3,5
jump,16768,1-3,5
jump,16828,1-3,5
jump,16888,1-3,5
jump,17038,1-3,5
koopa killed,17972,1-4,5
jump,17977,1-4,5
koopa killed,18043,1-4,5
koopa killed,18174,1-4,5
jump,18326,1-4,5
jump,18386,1-4,5
jump,18447,1-4,5
goomba killed,18563,1-4,5
jump,19237,1-4,5
jump,19747,1-4,5
jump,19833,1-4,5
koopa killed,19880,1-4,5
jump,19893,1-4,5
jump,20176,1-4,5
jump,20239,1-4,5
jump,20299,1-4,5
jump,20359,1-4,5
jump,20506,1-4,5
jump,20789,1-4,5
jump,20849,1-4,5
jump,21097,1-4,5
jump,21172,1-4,5
goomba killed,22681,1-1,5
jump,22760,1-1,5
goomba killed,22795,1-1,5
jump,22839,1-1,5
jump,22901,1-1,5
goomba killed,22951,1-1,5
jump,22980,1-1,5
jump,23040,1-1,5
jump,23100,1-1,5
jump,23336,1-1,5
jump,23465,1-1,5
mushroom,23579,1-1,5
jump,23586,1-1,5
jump,23677,1-1,5
jump,23737,1-1,5
koopa killed,23777,1-1,5
jump,23814,1-1,5
goomba killed,23859,1-1,5
jump,23924,1-1,5
jump,24017,1-1,5
koopa killed,24017,1-1,5
jump,24077,1-1,5
jump,24168,1-1,5
coinblock hit,24176,1-1,5
jump,24228,1-1,5
jump,24366,1-1,5
jump,24927,1-1,5
jump,25012,1-1,5
jump,25180,1-1,5
coinblock hit,25192,1-1,5
jump,25307,1-1,5
jump,25376,1-1,5
jump,25442,1-1,5
star,25513,1-1,5
jump,25559,1-1,5
goomba killed,25663,1-1,5
goomba killed,25726,1-1,5
jump,25786,1-1,5
goomba killed,25786,1-1,5
jump,25846,1-1,5
jump,25921,1-1,5
jump,25981,1-1,5
goomba killed,26051,1-1,5
jump,26073,1-1,5
jump,26133,1-1,5
jump,26227,1-1,5
jump,27714,1-2,5
goomba killed,27744,1-2,5
koopa killed,27758,1-2,5
jump,27813,1-2,5
jump,27877,1-2,5
mushroom,27886,1-2,5
coinblock hit,27908,1-2,5
jump,28099,1-2,5
jump,28165,1-2,5
jump,28234,1-2,5
koopa killed,28269,1-2,5
jump,28471,1-2,5
koopa killed,28529,1-2,5
jump,28542,1-2,5
jump,28748,1-2,5
jump,28808,1-2,5
jump,28913,1-2,5
goomba killed,28961,1-2,5
jump,28978,1-2,5
jump,29069,1-2,5
jump,29547,1-2,5
goomba killed,29547,1-2,5
jump,29634,1-2,5
jump,29816,1-2,5
goomba killed,29864,1-2,5
jump,29876,1-2,5
jump,29938,1-2,5
goomba killed,29960,1-2,5
jump,29999,1-2,5
coinblock hit,30020,1-2,5
jump,30123,1-2,5
jump,30429,1-2,5
jump,30489,1-2,5
jump,30608,1-2,5
goomba killed,30622,1-2,5
koopa killed,30626,1-2,5
jump,30668,1-2,5
goomba killed,30682,1-2,5
koopa killed,31033,1-2,5
jump,31054,1-2,5
koopa killed,31110,1-2,5
jump,31296,1-2,5
koopa killed,31350,1-2,5
goomba killed,31376,1-2,5
jump,31600,1-2,5
koopa killed,31647,1-2,5
jump,31675,1-2,5
jump,31735,1-2,5
jump,31854,1-2,5
jump,32749,1-2,5
goomba killed,32904,1-2,5
jump,33085,1-2,5
jump,33248,1-2,5
jump,33308,1-2,5
jump,33451,1-2,5
jump,33511,1-2,5
jump,33635,1-2,5
jump,33736,1-2,5
jump,33954,1-2,5
jump,34048,1-2,5
jump,34210,1-2,5
jump,34271,1-2,5
jump,34558,1-2,5
jump,34779,1-2,5
jump,34839,1-2,5
jump,34919,1-2,5
jump,35922,1-3,5
jump,36001,1-3,5
jump,36190,1-3,5
jump,36329,1-3,5
jump,36437,1-3,5
jump,36500,1-3,5
jump,36579,1-3,5
jump,36661,1-3,5
jump,36721,1-3,5
jump,36809,1-3,5
jump,36942,1-3,5
fire flower,36979,1-3,5
jump,37002,1-3,5
jump,37158,1-3,5
jump,37221,1-3,5
jump,37371,1-3,5
jump,37792,1-3,5
jump,37878,1-3,5
jump,38001,1-3,5
jump,38319,1-3,5
jump,38404,1-3,5
jump,38527,1-3,5
koopa killed,38572,1-3,5
koopa killed,38632,1-3,5
jump,38828,1-3,5
jump,38903,1-3,5
jump,39022,1-3,5
jump,39210,1-3,5
jump,39270,1-3,5
jump,39384,1-3,5
jump,39563,1-3,5
jump,40275,1-4,5
jump,40354,1-4,5
jump,40414,1-4,5
jump,40677,1-4,5
jump,40738,1-4,5
jump,40848,1-4,5
jump,40908,1-4,5
jump,40979,1-4,5
jump,41039,1-4,5
jump,41099,1-4,5
jump,41182,1-4,5
jump,41262,1-4,5
jump,283,1-1,6
jump,393,1-1,6
coinblock hit,402,1-1,6
jump,453,1-1,6
goomba killed,467,1-1,6
jump,513,1-1,6
mushroom,569,1-1,6
jump,573,1-1,6
jump,681,1-1,6
jump,741,1-1,6
jump,804,1-1,6
coinblock hit,862,1-1,6
jump,864,1-1,6
jump,924,1-1,6
jump,984,1-1,6
jump,1044,1-1,6
goomba killed,1048,1-1,6
jump,1104,1-1,6
jump,1164,1-1,6
goomba killed,1201,1-1,6
jump,1230,1-1,6
goomba killed,1261,1-1,6
jump,1315,1-1,6
jump,1403,1-1,6
jump,1472,1-1,6
jump,1538,1-1,6
mushroom,1543,1-1,6
jump,1673,1-1,6
jump,1739,1-1,6
goomba killed,1770,1-1,6
jump,1806,1-1,6
jump,1871,1-1,6
fire flower,1874,1-1,6
jump,2037,1-1,6
jump,2139,1-1,6
goomba killed,2228,1-1,6
jump,2260,1-1,6
jump,2320,1-1,6
coinblock hit,2331,1-1,6
jump,2384,1-1,6
jump,2445,1-1,6
coinblock hit,2455,1-1,6
coinblock hit,2495,1-1,6
jump,2517,1-1,6
jump,2594,1-1,6
goomba killed,2625,1-1,6
goomba killed,2698,1-1,6
jump,2749,1-1,6
jump,2833,1-1,6
fire flower,2834,1-1,6
jump,2933,1-1,6
jump,2993,1-1,6
jump,3053,1-1,6
jump,3119,1-1,6
goomba killed,3150,1-1,6
jump,3179,1-1,6
jump,3244,1-1,6
goomba killed,3275,1-1,6
jump,3304,1-1,6
jump,3364,1-1,6
coinblock hit,3386,1-1,6
coinblock hit,3426,1-1,6
jump,3449,1-1,6
jump,3510,1-1,6
jump,3570,1-1,6
jump,3630,1-1,6
jump,3691,1-1,6
jump,3754,1-1,6
jump,3830,1-1,6
jump,3893,1-1,6
goomba killed,3919,1-1,6
coinblock hit,3943,1-1,6
jump,4018,1-1,6
jump,4078,1-1,6
jump,4148,1-1,6
jump,5470,1-2,6
goomba killed,5517,1-2,6
goomba killed,5577,1-2,6
jump,5588,1-2,6
coinblock hit,5595,1-2,6
jump,5667,1-2,6
fire flower,5705,1-2,6
jump,5746,1-2,6
jump,5875,1-2,6
jump,5935,1-2,6
jump,5995,1-2,6
jump,6055,1-2,6
jump,6115,1-2,6
goomba killed,6125,1-2,6
jump,6175,1-2,6
coinblock hit,6182,1-2,6
jump,6235,1-2,6
koopa killed,6289,1-2,6
jump,6295,1-2,6
coinblock hit,6334,1-2,6
jump,6356,1-2,6
koopa killed,6363,1-2,6
jump,6441,1-2,6
koopa killed,6460,1-2,6
jump,6550,1-2,6
coinblock hit,6556,1-2,6
koopa killed,6557,1-2,6
koopa killed,6721,1-2,6
goomba killed,6740,1-2,6
jump,6788,1-2,6
jump,6985,1-2,6
jump,7206,1-2,6
koopa killed,7213,1-2,6
coinblock hit,7227,1-2,6
goomba killed,7239,1-2,6
goomba killed,7299,1-2,6
jump,7319,1-2,6
jump,7467,1-2,6
jump,7536,1-2,6
koopa killed,7555,1-2,6
jump,7596,1-2,6
jump,8129,1-2,6
jump,8189,1-2,6
jump,8473,1-2,6
jump,8533,1-2,6
jump,8600,1-2,6
jump,9621,1-3,6
jump,9681,1-3,6
jump,9741,1-3,6
jump,9805,1-3,6
jump,9891,1-3,6
jump,9951,1-3,6
jump,10024,1-3,6
jump,10084,1-3,6
jump,10163,1-3,6
jump,10242,1-3,6
jump,10306,1-3,6
jump,10423,1-3,6
goomba killed,10452,1-3,6
jump,10534,1-3,6
jump,10594,1-3,6
jump,11242,1-3,6
jump,11302,1-3,6
jump,11362,1-3,6
jump,11436,1-3,6
jump,11496,1-3,6
jump,11620,1-3,6
goomba killed,11671,1-3,6
jump,11680,1-3,6
goomba killed,11738,1-3,6
jump,11740,1-3,6
jump,11800,1-3,6
jump,11867,1-3,6
jump,11927,1-3,6
jump,11987,1-3,6
jump,12126,1-3,6
jump,12186,1-3,6
jump,12369,1-3,6
jump,12429,1-3,6
jump,12512,1-3,6
jump,12601,1-3,6
jump,12709,1-3,6
jump,12769,1-3,6
jump,12829,1-3,6
jump,13376,1-3,6
jump,13460,1-3,6
jump,13520,1-3,6
jump,13690,1-3,6
jump,13750,1-3,6
jump,14261,1-3,6
jump,14381,1-3,6
jump,14476,1-3,6
jump,14629,1-3,6
coinblock hit,14636,1-3,6
coinblock hit,14690,1-3,6
jump,14719,1-3,6
jump,14798,1-3,6
jump,14858,1-3,6
jump,14918,1-3,6
jump,15031,1-3,6
jump,15103,1-3,6
jump,15163,1-3,6
jump,15228,1-3,6
jump,15288,1-3,6
jump,15357,1-3,6
jump,16246,1-4,6
jump,16378,1-4,6
jump,16438,1-4,6
mushroom,16498,1-4,6
jump,16500,1-4,6
jump,17430,1-1,6
jump,17527,1-1,6
coinblock hit,17574,1-1,6
jump,17587,1-1,6
goomba killed,17625,1-1,6
jump,17658,1-1,6
coinblock hit,17698,1-1,6
mushroom,17722,1-1,6
jump,17735,1-1,6
jump,17872,1-1,6
jump,17932,1-1,6
coinblock hit,17939,1-1,6
jump,17992,1-1,6
jump,18052,1-1,6
jump,18112,1-1,6
goomba killed,18127,1-1,6
jump,18172,1-1,6
jump,18234,1-1,6
jump,18301,1-1,6
goomba killed,18327,1-1,6
jump,18361,1-1,6
jump,18426,1-1,6
jump,18505,1-1,6
jump,18568,1-1,6
jump,18635,1-1,6
jump,18710,1-1,6
mushroom,18716,1-1,6
jump,18814,1-1,6
jump,18876,1-1,6
jump,18949,1-1,6
goomba killed,18958,1-1,6
jump,19021,1-1,6
jump,19135,1-1,6
jump,19219,1-1,6
jump,19279,1-1,6
goomba killed,19353,1-1,6
coinblock hit,19359,1-1,6
jump,19397,1-1,6
jump,19462,1-1,6
coinblock hit,19513,1-1,6
jump,19561,1-1,6
jump,19621,1-1,6
coinblock hit,19628,1-1,6
jump,19681,1-1,6
jump,19786,1-1,6
star,19853,1-1,6
koopa killed,19883,1-1,6
goomba killed,20009,1-1,6
goomba killed,20078,1-1,6
jump,20133,1-1,6
jump,20193,1-1,6
jump,20256,1-1,6
jump,20316,1-1,6
goomba killed,20397,1-1,6
jump,20409,1-1,6
jump,20469,1-1,6
jump,20529,1-1,6
jump,21860,1-2,6
fire flower,21902,1-2,6
jump,21920,1-2,6
koopa killed,22125,1-2,6
jump,22143,1-2,6
jump,22203,1-2,6
jump,22263,1-2,6
koopa killed,22338,1-2,6
jump,22414,1-2,6
koopa killed,22421,1-2,6
jump,22563,1-2,6
koopa killed,22572,1-2,6
goomba killed,22577,1-2,6
jump,22795,1-2,6
koopa killed,22797,1-2,6
jump,22856,1-2,6
coinblock hit,22906,1-2,6
koopa killed,22909,1-2,6
jump,22916,1-2,6
coinblock hit,22972,1-2,6
jump,22976,1-2,6
jump,23036,1-2,6
goomba killed,23052,1-2,6
goomba killed,23112,1-2,6
jump,23201,1-2,6
jump,23266,1-2,6
jump,23326,1-2,6
jump,23454,1-2,6
jump,23619,1-2,6
fire flower,23667,1-2,6
jump,23751,1-2,6
jump,23823,1-2,6
jump,23883,1-2,6
jump,23943,1-2,6
jump,24014,1-2,6
jump,24079,1-2,6
koopa killed,24081,1-2,6
jump,24628,1-2,6
jump,24689,1-2,6
jump,24967,1-2,6
jump,25027,1-2,6
jump,25094,1-2,6
jump,25180,1-2,6
jump,26136,1-3,6
jump,26196,1-3,6
jump,26256,1-3,6
jump,26323,1-3,6
goomba killed,26360,1-3,6
jump,26432,1-3,6
jump,26492,1-3,6
jump,26557,1-3,6
jump,26628,1-3,6
jump,26749,1-3,6
fire flower,26789,1-3,6
jump,26824,1-3,6
jump,26906,1-3,6
jump,26966,1-3,6
jump,27036,1-3,6
jump,27132,1-3,6
jump,27192,1-3,6
jump,27281,1-3,6
jump,27365,1-3,6
jump,27425,1-3,6
jump,27931,1-3,6
jump,28010,1-3,6
jump,28090,1-3,6
jump,28182,1-3,6
jump,28327,1-3,6
jump,28434,1-3,6
jump,28529,1-3,6
jump,28589,1-3,6
jump,28649,1-3,6
jump,28709,1-3,6
jump,28771,1-3,6
jump,28837,1-3,6
jump,28906,1-3,6
jump,29005,1-3,6
jump,29973,1-4,6
jump,30235,1-4,6
jump,30309,1-4,6
jump,30369,1-4,6
mushroom,30376,1-4,6
jump,30429,1-4,6
jump,30513,1-4,6
jump,30573,1-4,6
jump,30852,1-4,6
jump,30931,1-4,6
jump,30991,1-4,6
jump,31093,1-4,6
jump,31153,1-4,6
jump,31213,1-4,6
jump,31273,1-4,6
jump,31333,1-4,6
coinblock hit,31386,1-4,6
jump,31393,1-4,6
jump,31453,1-4,6
coinblock hit,31472,1-4,6
jump,31513,1-4,6
jump,31587,1-4,6
jump,32124,1-4,6
jump,32227,1-4,6
jump,32287,1-4,6
mushroom,32347,1-4,6
jump,32351,1-4,6
jump,32597,1-4,6
jump,32891,1-4,6
jump,32951,1-4,6
jump,33011,1-4,6
jump,33118,1-4,6
coinblock hit,33124,1-4,6
jump,33200,1-4,6
jump,33307,1-4,6
jump,33471,1-4,6
jump,33531,1-4,6
jump,33591,1-4,6
jump,33651,1-4,6
jump,284,1-1,7
jump,349,1-1,7
jump,462,1-1,7
jump,625,1-1,7
coinblock hit,640,1-1,7
jump,686,1-1,7
mushroom,755,1-1,7
jump,759,1-1,7
jump,826,1-1,7
jump,946,1-1,7
jump,1053,1-1,7
jump,1134,1-1,7
jump,1194,1-1,7
jump,1254,1-1,7
jump,1413,1-1,7
jump,1507,1-1,7
goomba killed,1514,1-1,7
jump,1567,1-1,7
goomba killed,1574,1-1,7
fire flower,1604,1-1,7
jump,1627,1-1,7
jump,1797,1-1,7
jump,1912,1-1,7
jump,1988,1-1,7
