event,frame,level,video_id
coinblock hit,8645,1-2,2
jump,8680,1-2,2
coinblock hit,8692,1-2,2
coinblock hit,8732,1-2,2
jump,8740,1-2,2
jump,8822,1-2,2
koopa killed,8950,1-2,2
jump,9024,1-2,2
coinblock hit,9029,1-2,2
koopa killed,9031,1-2,2
jump,9084,1-2,2
jump,9154,1-2,2
coinblock hit,9154,1-2,2
jump,9214,1-2,2
koopa killed,9385,1-2,2
goomba killed,9408,1-2,2
goomba killed,9545,1-2,2
jump,9908,1-2,2
jump,9985,1-2,2
jump,10092,1-2,2
jump,10200,1-2,2
coinblock hit,10228,1-2,2
jump,10260,1-2,2
goomba killed,10354,1-2,2
goomba killed,10414,1-2,2
jump,10564,1-2,2
jump,10624,1-2,2
jump,10754,1-2,2
goomba killed,10955,1-2,2
goomba killed,11017,1-2,2
jump,11101,1-2,2
jump,11161,1-2,2
jump,11221,1-2,2
jump,11281,1-2,2
jump,11345,1-2,2
jump,11463,1-2,2
jump,11527,1-2,2
jump,11587,1-2,2
jump,11647,1-2,2
jump,11769,1-2,2
jump,11836,1-2,2
jump,11896,1-2,2
jump,11985,1-2,2
jump,12046,1-2,2
goomba killed,12182,1-2,2
jump,12186,1-2,2
jump,12387,1-2,2
jump,12536,1-2,2
jump,12596,1-2,2
jump,12754,1-2,2
goomba killed,12761,1-2,2
jump,12814,1-2,2
jump,12937,1-2,2
jump,12997,1-2,2
jump,13108,1-2,2
jump,13170,1-2,2
jump,13834,1-2,2
jump,13895,1-2,2
jump,14576,1-2,2
jump,14636,1-2,2
goomba killed,14684,1-2,2
jump,14915,1-2,2
jump,15010,1-2,2
jump,15080,1-2,2
jump,15165,1-2,2
jump,16647,1-2,2
goomba killed,16688,1-2,2
jump,16754,1-2,2
jump,16864,1-2,2
jump,17143,1-1,2
jump,17398,1-1,2
jump,17530,1-1,2
jump,17590,1-1,2
coinblock hit,17601,1-1,2
jump,17697,1-1,2
mushroom,17759,1-1,2
jump,17768,1-1,2
jump,17831,1-1,2
jump,17987,1-1,2
jump,18101,1-1,2
jump,18181,1-1,2
jump,18241,1-1,2
jump,18315,1-1,2
jump,18485,1-1,2
jump,18601,1-1,2
fire flower,18643,1-1,2
jump,18672,1-1,2
jump,18795,1-1,2
jump,18856,1-1,2
goomba killed,18896,1-1,2
jump,18999,1-1,2
jump,19059,1-1,2
coinblock hit,19070,1-1,2
jump,19272,1-1,2
goomba killed,19321,1-1,2
jump,19332,1-1,2
jump,19403,1-1,2
coinblock hit,19415,1-1,2
jump,19502,1-1,2
jump,19562,1-1,2
jump,19626,1-1,2
jump,19694,1-1,2
jump,19754,1-1,2
jump,19814,1-1,2
jump,19915,1-1,2
jump,19975,1-1,2
jump,20049,1-1,2
jump,20152,1-1,2
jump,20212,1-1,2
jump,20278,1-1,2
jump,20340,1-1,2
jump,20404,1-1,2
jump,20467,1-1,2
jump,20527,1-1,2
jump,20588,1-1,2
jump,22034,1-2,2
jump,22101,1-2,2
jump,22252,1-2,2
jump,22314,1-2,2
jump,22374,1-2,2
jump,22439,1-2,2
jump,22504,1-2,2
jump,22564,1-2,2
jump,22641,1-2,2
jump,23446,1-2,2
jump,23506,1-2,2
coinblock hit,23539,1-2,2
jump,23566,1-2,2
jump,23630,1-2,2
jump,23692,1-2,2
jump,23753,1-2,2
jump,23820,1-2,2
jump,24026,1-2,2
jump,24415,1-2,2
jump,24518,1-2,2
jump,24578,1-2,2
goomba killed,24605,1-2,2
jump,24800,1-2,2
goomba killed,24826,1-2,2
jump,25090,1-2,2
goomba killed,25107,1-2,2
jump,25200,1-2,2
goomba killed,25221,1-2,2
coinblock hit,25227,1-2,2
jump,25328,1-2,2
jump,25502,1-2,2
jump,25596,1-2,2
jump,25656,1-2,2
jump,25716,1-2,2
jump,25809,1-2,2
jump,25869,1-2,2
jump,26027,1-2,2
goomba killed,26033,1-2,2
jump,26087,1-2,2
jump,26250,1-2,2
jump,26310,1-2,2
jump,26385,1-2,2
jump,26449,1-2,2
jump,26780,1-2,2
jump,26840,1-2,2
jump,26900,1-2,2
jump,26960,1-2,2
jump,27998,1-3,2
jump,28059,1-3,2
jump,28176,1-3,2
jump,28380,1-3,2
jump,28453,1-3,2
goomba killed,28497,1-3,2
jump,28580,1-3,2
jump,28652,1-3,2
coinblock hit,28666,1-3,2
jump,28712,1-3,2
jump,28774,1-3,2
jump,29019,1-3,2
jump,29156,1-3,2
mushroom,29248,1-3,2
jump,29378,1-3,2
jump,29438,1-3,2
jump,29501,1-3,2
goomba killed,29543,1-3,2
jump,29595,1-3,2
jump,30214,1-3,2
jump,30310,1-3,2
jump,30370,1-3,2
jump,30455,1-3,2
jump,30628,1-3,2
jump,30706,1-3,2
jump,30773,1-3,2
jump,30833,1-3,2
jump,30893,1-3,2
jump,30965,1-3,2
jump,31034,1-3,2
jump,31267,1-3,2
jump,31353,1-3,2
jump,31413,1-3,2
jump,31473,1-3,2
jump,31533,1-3,2
jump,32488,1-4,2
jump,32621,1-4,2
jump,32700,1-4,2
jump,32760,1-4,2
koopa killed,32849,1-4,2
jump,33355,1-4,2
jump,33439,1-4,2
jump,33502,1-4,2
jump,33573,1-4,2
jump,754,1-1,3
jump,820,1-1,3
jump,907,1-1,3
jump,1086,1-1,3
jump,1545,1-1,3
jump,1607,1-1,3
jump,1704,1-1,3
goomba killed,1766,1-1,3
jump,1848,1-1,3
jump,1909,1-1,3
jump,1972,1-1,3
jump,2073,1-1,3
coinblock hit,2079,1-1,3
jump,2150,1-1,3
mushroom,2218,1-1,3
jump,2227,1-1,3
coinblock hit,2242,1-1,3
jump,2406,1-1,3
jump,2498,1-1,3
jump,2558,1-1,3
coinblock hit,2560,1-1,3
jump,2618,1-1,3
jump,2778,1-1,3
jump,2838,1-1,3
goomba killed,2883,1-1,3
jump,2898,1-1,3
jump,2958,1-1,3
goomba killed,3000,1-1,3
jump,3088,1-1,3
goomba killed,3120,1-1,3
jump,3214,1-1,3
jump,3393,1-1,3
jump,3490,1-1,3
goomba killed,3498,1-1,3
jump,3550,1-1,3
goomba killed,3558,1-1,3
jump,3618,1-1,3
goomba killed,3618,1-1,3
jump,3678,1-1,3
mushroom,3726,1-1,3
jump,4002,1-1,3
jump,4070,1-1,3
goomba killed,4135,1-1,3
jump,4196,1-1,3
jump,4354,1-1,3
coinblock hit,4364,1-1,3
jump,4414,1-1,3
jump,4474,1-1,3
goomba killed,4507,1-1,3
jump,4534,1-1,3
coinblock hit,4565,1-1,3
jump,4622,1-1,3
coinblock hit,4633,1-1,3
jump,4682,1-1,3
jump,4788,1-1,3
fire flower,4873,1-1,3
jump,4898,1-1,3
jump,4991,1-1,3
jump,5051,1-1,3
jump,5111,1-1,3
jump,5172,1-1,3
jump,5232,1-1,3
jump,5301,1-1,3
